id,annotators,rationales,post_tokens,sentence,rationale_words,label_majority,label
1178610029273976833_twitter,"{'label': [1, 1, 1], 'annotator_id': [9, 17, 64], 'target': [['None'], ['None'], ['None']]}",[],"['<user>', 'men', 'can', 'not', 'be', 'raped', 'can', 'not', 'be', 'abused', 'that', 'why', 'they', 'call', 'it', 'violence', 'against', 'women', 'and', 'children', 'because', 'men', 'are', 'always', 'the', 'perpetrators', 'women', 'come', 'first', 'even', 'before', 'children']",<user> men can not be raped can not be abused that why they call it violence against women and children because men are always the perpetrators women come first even before children,,non-hateful,non-hateful
1103385226921762816_twitter,"{'label': [0, 0, 0], 'annotator_id': [206, 199, 203], 'target': [['Arab', 'Islam', 'Jewish'], ['Islam', 'Jewish'], ['Islam', 'Jewish']]}","[[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]]","['<user>', '<user>', 'well', 'she', '’', 'muslim', 'so', 'of', 'course', 'she', 'hates', 'the', 'jews', 'jew', 'hatred', 'is', 'one', 'of', 'the', 'defining', 'feature', 'of', 'islam']",<user> <user> well she ’ muslim so of course she hates the jews jew hatred is one of the defining feature of islam,she ’ muslim so of course she hates the jews jew hatred defining feature of islam,hateful,hateful
17372469_gab,"{'label': [0, 0, 0], 'annotator_id': [3, 70, 9], 'target': [['Women', 'African'], ['Minority', 'Other', 'African', 'Nonreligious', 'Other'], ['Women', 'African']]}","[[0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0]]","['an', 'these', 'nigger', 'biches', 'look', 'like', 'godzilla', 'nasty']",an these nigger biches look like godzilla nasty,nigger biches,hateful,hateful
24305062_gab,"{'label': [0, 0, 0], 'annotator_id': [205, 200, 223], 'target': [['African'], ['African'], ['African']]}","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","['education', 'or', 'marxist', 'indoctrination', 'since', 'it', 'is', 'well', 'established', 'blacks', 'are', 'incapable', 'of', 'learning', 'anything', 'past', 'the', 'age', 'of', 'ten', 'unless', 'they', 'are', 'half', 'white', 'should', 'not', 'blacks', 'go', 'to', 'a', 'trade', 'school', 'upon', 'age', '<number>', 'say', 'learning', 'how', 'to', 'pick', 'cotton', 'fruits', 'and', 'vegetables']",education or marxist indoctrination since it is well established blacks are incapable of learning anything past the age of ten unless they are half white should not blacks go to a trade school upon age <number> say learning how to pick cotton fruits and vegetables,since it is well established blacks are incapable of learning anything past the age of ten unless they are half white should not blacks go to a trade school upon age <number> say learning how to pick cotton fruits and vegetables,hateful,hateful
1123306824571158529_twitter,"{'label': [1, 1, 1], 'annotator_id': [6, 115, 4], 'target': [['None'], ['None'], ['Women']]}",[],"['fell', 'outta', 'love', 'and', 'found', 'a', 'boss', 'bitch']",fell outta love and found a boss bitch,,non-hateful,non-hateful
1178857682511511552_twitter,"{'label': [1, 1, 1], 'annotator_id': [1, 9, 10], 'target': [['None'], ['None'], ['None']]}",[],"['a', 'pussy', 'hoe', 'could', 'never', 'is', 'so', 'ghetto', 'and', 'i', 'hate', 'hearing', 'it']",a pussy hoe could never is so ghetto and i hate hearing it,,non-hateful,non-hateful
1178929320527462401_twitter,"{'label': [1, 1, 1], 'annotator_id': [18, 4, 1], 'target': [['None'], ['African', 'Caucasian'], ['None']]}",[],"['i', 'saw', 'this', 'porno', 'once', 'where', 'the', 'black', 'guy', 'had', 'a', 'nicer', 'butt', 'than', 'the', 'white', 'bitch', 'he', 'was', 'beating', 'on', 'not', 'me']",i saw this porno once where the black guy had a nicer butt than the white bitch he was beating on not me,,non-hateful,non-hateful
1178978611652710406_twitter,"{'label': [1, 1, 1], 'annotator_id': [18, 17, 1], 'target': [['None'], ['None'], ['None']]}",[],"['<user>', '<user>', 'nothing', 'more', 'than', 'serial', 'rapists', 'both', 'of', 'them', 'he', 'raped', 'women', 'and', 'american', 'taxpayers', 'and', 'she', 'raped', 'america', 'and', 'the', 'american', 'taxpayer']",<user> <user> nothing more than serial rapists both of them he raped women and american taxpayers and she raped america and the american taxpayer,,non-hateful,non-hateful
1178412537496383488_twitter,"{'label': [0, 0, 0], 'annotator_id': [29, 148, 3], 'target': [['African'], ['African'], ['African']]}","[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","['dont', 'buy', 'a', 'mouse', 'on', 'media', 'markt', 'fucking', 'niggers', 'giving', 'me', 'fake', 'logitech', 'mouse', 'turns', 'off', 'the', 'middle', 'of', 'the', 'ranked']",dont buy a mouse on media markt fucking niggers giving me fake logitech mouse turns off the middle of the ranked,fucking niggers,hateful,hateful
1108816043865042945_twitter,"{'label': [1, 1, 1], 'annotator_id': [202, 213, 231], 'target': [['Refugee', 'Other'], ['None'], ['None']]}",[],"['people', 'calling', 'undocumented', 'immigrants', 'labor', 'unskilled', 'are', 'dumb', 'af', 'ya', 'ever', 'built', 'a', 'house', 'shit', 'ain', '’', 't', 'easy']",people calling undocumented immigrants labor unskilled are dumb af ya ever built a house shit ain ’ t easy,,non-hateful,non-hateful
