id,text,label,class
1.1237515298093711e+18,@ShinyTidePod13 @taylortoimpress @taylornation13 Yes. I agree. She’s probably had that outfit for months. Anticipat… https://t.co/zDVacShZpt,NOT,non-hateful
1.1235880148719616e+18,LRT WHAT THE FUCK,HOF,hateful
1.130218144176513e+18,fuck absolutely everything about today.,HOF,hateful
1.1270082810739424e+18,"@FISTINGRAID THEYRE SO CUTE!!!! Colorful baby!!!! Ur so good at making a whimsical, idk the right term, but tone?? Mood????",NOT,non-hateful
1.1302215583190016e+18,@aetherflare bit of a yikes from me   yiking rn,NOT,non-hateful
1.1237809906132952e+18,RT @jiminiecricketh: THIS IS THE CUTEST SHIT STFU https://t.co/aW9nTkf09b,HOF,hateful
1.1270235189552088e+18,RT @_Wilkins300: Bruh how tf you do this shit https://t.co/wtkKH812wr,HOF,hateful
1.1301936452299572e+18,@stacymariee11 Lol are you saying you’re down?!,NOT,non-hateful
1.1235647322864148e+18,"I tell you, that Robert Adam knew a thing or two about ceilings. Syon House, West London, (the Adam bits, at least,… https://t.co/q3WcGFJgiz",NOT,non-hateful
1.1236580765512868e+18,@CherlynnForKY @YvetteJacqR Rand Paul likes it in the ass! Butt I’m not telling the people of KY anything they don’t know @RandPaul,HOF,hateful
1.1301884610826976e+18,Are y’all ready for the finale tonight?! #GOTFinale #GameofThrones,NOT,non-hateful
1.1237044529706804e+18,I mean I don't wanna bring up this fool but you know nipsy hustle and all I know he wishes he never even talked to that brother,HOF,hateful
1.1303027097127936e+18,"Lmfao stg passed a little piece of paper with the answers on it, peeped around the sides.",HOF,hateful
1.1267473911623476e+18,@ButterflyBowz3 Mental health ❤️,NOT,non-hateful
1.1237911744001268e+18,RT @jhsmoovees: I WILL NEVER RECOVER FROM THIS. NEVER . EVER.  #BBMAs #BTSOnE @BTS_twt https://t.co/uV5nHXuaoB,NOT,non-hateful
1.1267654853982863e+18,RT @erinmhk: my mother when I tell her I’m depressed https://t.co/A0pi3QX65d,NOT,non-hateful
1.1267396400927704e+18,@modiehi_thulo @MimoMokgosi He must go get it himself! He’s a grown man!,NOT,non-hateful
1.1237402094206031e+18,RT @Evenings_Star: BIG news &amp; will have even bigger consequences. Islamic terrorist front groups who provide funding to Islamic terrorist o…,NOT,non-hateful
1.1267814530969027e+18,"@alishaavfc Bruh, you can't be calling it that",NOT,non-hateful
1.1302695956910488e+18,"@SNYtv How!!!!! We have 11 defenseman! Stop the madness, we need to spend some money on putting the damn puck in th… https://t.co/nooxZ75t5z",HOF,hateful
1.1302651371207228e+18,"@FourofFiveWits They're fine, Ive just gotten tired of their schtick. I like all of the individuals more than the whole",NOT,non-hateful
1.1236508539472856e+18,Im sick fortnite  stream  live at https://t.co/G3TOpFcuf0,NOT,non-hateful
1.126850763978834e+18,How cool is this little thing. Don't think I'd fit the twins and everything that comes with them in it though 😁 201… https://t.co/J4ltBfTPOl,NOT,non-hateful
1.1238171077902254e+18,@chellew_grant @Pukeko65 About the same I think 😂,NOT,non-hateful
1.123536575948886e+18,RT @asoiafjaime: this is the cutest shit i’ve ever seen &lt;33 https://t.co/DfaKcjCUmx,NOT,non-hateful
1.1269266515170222e+18,RT @uppalj: @sampitroda Stop your shit. You are an imported abuser. You have hurt our countrymen by your remarks on Sikh killings by Congre…,HOF,hateful
1.1303225403695226e+18,RT @DrShwetaGulati: #JavedAkhtar happily promoted Tipu Sultan despite having mercilessly murdered thousands for their Islam but how dare so…,NOT,non-hateful
1.1236461353720628e+18,don't show me zer0 and then cut away :((,NOT,non-hateful
1.123809616763265e+18,@maziehirono @realDonaldTrump You are a disgusting POS elected by a FRACTION of this Country on RACE only🤬 as my ri… https://t.co/r33sw2Dm0U,HOF,hateful
1.1236592761097134e+18,RT @fcukyoongi: bbma commercials be like: BTS IS COMING!!!!! BTS ARE PERFORMING!!!!!!!!!! theres other artists too but BT FUCKING S IS GONN…,HOF,hateful
1.1269882532388943e+18,"@thephotoist Glad Shiloh is okay. No onions or chocolate either. Sorry, pooch.🐶🐶",NOT,non-hateful
1.1269637039733187e+18,"RT @RealSaavedra: Stacey Abrams warns of a Russian takeover of America by 2030 if voter suppression isn't addressed: ""we will be having a v…",NOT,non-hateful
1.1235979889605344e+18,RT @KimNgn76633271: Scroll down ⠀  ⠀⠀  ⠀  ⠀  ⠀  ⠀ ⠀  ⠀ ⠀  ⠀ ⠀  ⠀ Keep scrolling  ⠀  ⠀ ⠀  ⠀ ⠀  ⠀ ⠀  ⠀  ⠀  ⠀  ⠀  ⠀  ⠀ Now you’re obligated to…,NOT,non-hateful
1.1270121481971752e+18,"If Levy and Co don’t get the memo, then Pochettino ain’t the problem",NOT,non-hateful
1.1236496837322792e+18,Towers of Time really REALLY MAKES ONE SELF WISH THEY WERE DEAD. Fuck this shitty mode. It makes me want to hate th… https://t.co/Ct55zbh5G1,HOF,hateful
1.1270261823425536e+18,bruh this stupid flopping is destroying the game,NOT,non-hateful
1.1268059520224256e+18,"@FirstWyvern waited 50 minutes for the 32 bus to show up, there should have a been 3 in that space, wtf is going on… https://t.co/Xd9sdEKzvS",NOT,non-hateful
1.1235672530924708e+18,@O_Nifesq Still doesn't change anything. He doesn't need to dive into tackles. He uses his brain instead of brawn.… https://t.co/3b82mrKjW5,NOT,non-hateful
1.1302933606217073e+18,RT @canzaynnot: ARE YALL SEEING THIS???? ARE YALL REALLY ?????  HOSEOK PERFORMANCE IS UNTOUCHABLE HOLY SHIT  https://t.co/hSfvWI0tOk,HOF,hateful
1.1270048123467855e+18,"@DerekME2020 @GlennGriffin8 @SenatorCollins @SenAngusKing @realDonaldTrump OMG, and I thought LePage was a nut-case.",HOF,hateful
1.1301995088458628e+18,I got sick from the crazy ass wind last night......... fml and we boutta do it all over again today. Wtf I’m so annoyed,HOF,hateful
1.1237233147263055e+18,RT @polarbearyoongi: me : [was mad at bbmas]   yoongi : [giggles]  me : u know what ? everything is fucking perfect and amazing. Love that…,HOF,hateful
1.1237802440187452e+18,RT @madddieee217: THATS AMERICAS ASS😩👌                 https://t.co/TcjQ0sM9kF,HOF,hateful
1.1238094741359534e+18,"RT @TZ_BENNN3: Ever since I resumed from my leave, I’ve not been able to tweet good stuffs and worst of all, I’m not even getting impressio…",NOT,non-hateful
1.1268767267206472e+18,im bit late how did it go,NOT,non-hateful
1.1236957246029824e+18,"RT @FootballFunnnys: Valverde: ”Do you know what you have to do?”  Alena: “No”  Valverde: “Me neither, tell Messi I said hi.” https://t.co/…",NOT,non-hateful
1.1301401007619357e+18,I really want people to stop asking what’s next for me like damn can I put my cap &amp; gown away first,HOF,hateful
1.1299974105063668e+18,RT @JaviNoHoes: Just found out I actually have to talk to girls to get a girlfriend https://t.co/uLeAzqN1BG,NOT,non-hateful
1.1268860129011834e+18,"@marknorm Champions eat once a day, because they abhor being full of shit.",HOF,hateful
1.1302967496194048e+18,i cannot believe how bad this shit is,HOF,hateful
1.1234912271088925e+18,RT @JackPosobiec: BREAKING: President Trump planning to formally designate the Muslim Brotherhood as a terrorist organization. The US would…,HOF,hateful
1.1301202155667046e+18,RT @VINTERINE: i used to HAW that shit https://t.co/LYV80MxTuI,HOF,hateful
1.1300733315987907e+18,RT @blockbuzzzter: is there any other bees going to the park kyung and taeil concert that willing to help ibbcs with the merch? ria is a go…,HOF,hateful
1.1301415352055028e+18,So you're a tough guy Like it really rough guy Just can't get enough guy Chest always so puffed guy I'm that bad t… https://t.co/75hzVDnqjP,NOT,non-hateful
