post,class
the latest lazcato's revolutionews ! thanks to #activism #revolution,not_hate
is right . i went 2ur website . u all sound like a bunch of #ignorant  #xenophobic  #racist #rednecks . #immigrantsmakeamericagreat,explicit_hate
that's o . k .  my full blood mexican relatives hate me bc i'm conservative  claim they hate white ppl but all of them married a white person !,not_hate
"  "" dear white people "" "" trailer culturally appropriates my people's music . #notok """,implicit_hate
" rt trump's attack on merkel gets cheers and whistles .  "" i used to think merkel was a good leader until she ruined germany . "" "" #gopdebate """,not_hate
boston holocaust museum vandalized arrest made the forward,not_hate
#economist says national #debt really $ 211 trillion : #ifiwereu #federal #job #libya #jbs #ukriots #us,not_hate
what if we just rile up every leftist group and the media and never actually show up and see what happens ?,not_hate
trump  white nationalists  the media via,not_hate
btw  islam isn't a race !,not_hate
retweeted hunter wallace ( ): president trump : the fake news lgenpresse is the enemy of the american ...,not_hate
lets take that shit back brothers fuck the porch monkeys.,implicit_hate
the end of a myth : most new serial killers in america are not white males | read more :,not_hate
black activists call for lynching and hanging of white people and cops via,implicit_hate
"did you know Mexicans in Southern California actually use ""JAJAJA"" Instead of ""hahah"" pisses me off so much  #DEPORTALLOFTHEM",implicit_hate
"that's joey over there and mary, and jesus and saul and shaquille not that italian, white chick, mexican, jew and black guy",implicit_hate
all for show . the israeli govt must be funneling money to the rebel media .,implicit_hate
: hate white people,not_hate
" rt no report by moody of  "" growing intolerence "" "" indian media quoted a muslim analyst working for moody in his personal capacity . see last tweet """,not_hate
and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is rea,implicit_hate
trump has a savvy with the media that belies his intelligence . that is an inherent skill  not measured by his sub - 90 iq . ergo  genius,implicit_hate
never again ! ! ! white vs white wars for jews !,explicit_hate
oscars : acting nominees all white via,not_hate
intends to score house reconciliation act . it's time to #defundpp #prolife via,not_hate
the germanic peoples are the enemies of the white race  notice how it's germanics enabling every other enemy,implicit_hate
this is simple . the media & powers that be will never paint white people talking about white issues wit,not_hate
strange bedfellows support religious freedom now if the others were consistent ...,not_hate
pl . note trump is not racist  this is false propaganda of opponents,not_hate
nope . and no  the league of the south people weren't attacking anyone on t,not_hate
it doesn't effect religious liberty one iota.my god  my religion  my faith haven't changed.nor will they .,not_hate
a very good introduction to the #altright from and .,not_hate
when you drab the swamp in sacramento!,implicit_hate
what a traitor ! go trump ! magamagamaga,not_hate
the alt right should be tearing down american history with the left  because once history is erased the new can be born .,not_hate
she used us  elder . she was never #maga disappointing  but we move forward,not_hate
excellent . we need our own adl yo track anti-white hate . then an aipac to pool funds to give to smaller orgs for white scholarships etc .,implicit_hate
bbc news : the national socialist groups patrolling kiev ( video ) | read more : by,not_hate
it seems atheists are intent upon stealing away our freedom of religion ...,implicit_hate
things begin to make sense once you accept the fact that we pundits are smarter and better than the vast majority of people in our culture .,not_hate
or the cultural white heritage officers,not_hate
: antifa : the real threat to the republic via,not_hate
"so the federal government said we are no longer allowed to call people from indiana "" indianians "" . <repeat> now we must refer to them as "" indyots "" .",implicit_hate
" i know gets  "" alt-right "" "" reputation for ... something  maybe sometimes lis """,not_hate
flawed individuals perhaps  like all of us  but people who were prepared to ri,not_hate
well it's not petulant raving so much making sure everyone remains civil & doesn't break the law,not_hate
" they aren't pro-white activists  they are  in fact  an  "" optics club "" "" - just like ren faires  cosplayers  trekkies  my little ponies  and furries . all they want is to get on tv  they don't care about white people . """,not_hate
" deadly syllables > mc / mc-cas-kill : loon who enjoys her  "" love pat for the day from the tsa ; ; kill : ill-egals thrive & kill in cities """,implicit_hate
fair is a racist  xenophobic front . stop lying .,not_hate
it is a forest vs . trees issue in that the real problem is how whites now approach reproduction,not_hate
it's amazing how envious and jealous other people are of whiteness .,implicit_hate
< i believe that qualifies as a racist remark .,not_hate
the only thing sharia is compatible with is sharia.,implicit_hate
according to is a racist waterbuffalo .,not_hate
pagan traditions were european too . merry yule  happy solstice  felix saturnalia . only when the roman emperor constantine replaced a roman festival with a christian holiday  but kept the vacation days the same  was christmas pinned to december 25th . #westerncivilization,not_hate
no my issue is why you act like you hate all white people and get mad at me because i don't .,not_hate
white power and proud ! ! !,implicit_hate
ji the game has just began hope it doesn't turn out to be 20-20 matchonly can wish u best of luck,not_hate
"brave man. he has a point. but, at least teach them that being an illegal alien is a violation of law.",implicit_hate
we are living in a country formed for and by white people .,implicit_hate
"well, you can escape all the terrible white oppressors and build your black paradise?",implicit_hate
" rt visit fair's website to see photos from the amnesty rally and set up on the  "" closed "" "" mall """,not_hate
a disturbed jewish kid ( klebold ) and his disturbed anti-racist ( anti-white ) friend . story used by media to attack gun ownership,not_hate
