guid,source,date,title,comment,OFF,TGT,GRP,OFF_span,TGT_span,annotator_id,offensiveness,off_start_idx,off_end_idx,target,target_group,tgt_start_idx,tgt_end_idx,label
kold-v1_15545,naver_news,2021-06-27,“차별의 시대 불태워라” 도심 행진한 성소수자들의 무지개 깃발,한마디로 미쳤군....,True,group,gender-LGBTQ+,한마디로 미쳤군....,,190041,True,[0],[11],[['group']],[['집단-성적 지향-동성애자']],[],[],hateful
kold-v1_16783,naver_news,2021-05-22,성소수자 단체 “혐오가 우리 삶 앗아가…차별금지법 제정 절실”,대부분의 사람들은 동성애자라고 차별하지 않습니다. 그러나 이상한짓을 하니 주목받게 되고 싫어하는거 아닌가요? 이성애자인 사람들이 이성애자라고 광고하지 않듯이 당신들은 동성애자라고 떠들지 맙시다. 본인이 신택한 생활양식으로 생긴 결과를 남탓으로 돌리지 맙시다.,True,group,gender-LGBTQ+,이상한짓을 하니 주목받게 되고 싫어하는거 아닌가요?,"동성애자, 동성애자",88552,True,[],[],"[['group'], ['group']]","[['집단-성적 지향-동성애자'], ['집단-성적 지향-동성애자']]","[10, 93]","[13, 96]",hateful
kold-v1_06745,naver_news,2021-09-01,與野 너도나도 이대남 구애? 독배 될 수도,기자가 페미구만? 이딴 기사쓰는거 양심에 안 찔리냐?,True,group,others-feminist,기자가 페미구만? 이딴 기사쓰는거 양심에 안 찔리냐?,"기자, 페미",167912,True,[3],[28],[['individual']],[['개인']],[0],[1],hateful
kold-v1_07611,naver_news,2021-04-23,“이번엔 남자가 피해자”…젠더갈등으로 점화되는 불법영상 청원[촉!],N번방 피해자들도 저런식으로 걸린건데?.. 트위터에 나체사진 올리거나 조건하려다가 걸린건데 저거랑 뭐가다름??,True,group,gender-female,나체사진 올리거나 조건하려다가 걸린건데 저거랑 뭐가다름??,,71881,True,[29],[58],[['group']],[['집단-성 정체성-여성']],[0],[7],hateful
kold-v1_40208,naver_news,2021-08-17,북유럽 4개국 대사의 '무지개연대'... 그들이 한국의 성소수자를 지지하는 법,남색하는 자들의 나라왜 우리나라까지 와서 건드립니까함께 지옥으로 쓸려가고싶지 않으니 본인들나라나 관리하세요,True,group,race-others,남색하는 자들의 나라왜 우리나라까지 와서 건드립니까함께 지옥으로 쓸려가고싶지 않으니 본인들나라나 관리하세요,,124016,True,[0],[58],[['group']],"[['집단-민족, 인종, 국가-그 외']]",[],[],hateful
kold-v1_19051,naver_news,2022-01-31,극우 결집 나서는 EU ‘이단아’ 폴란드·헝가리 … 고심 커지는 EU,니도 극우네!,True,group,others-others,니도 극우네!,,244885,True,[0],[6],[['other']],[['기타']],[],[],hateful
kold-v1_21312,youtube,2021-07-22,[맹탱벼] 새내기들 집중 ! 에타에 숨어 있는 여성 혐오들을 찾아보았습니다.,여기 와서 초 치는 댓글 쓰는 남자들 보기 시렁 ㅠ,True,group,gender-male,보기 시렁 ㅠ,남자들,36524,True,[21],[27],[['group']],[['집단-성 정체성-남성']],[17],[19],hateful
kold-v1_16454,naver_news,2020-10-14,문재인 정부에서 당신은 몇번째 국민인가요,한국말도 잘 못 쓰면서 남의 나라게시판에서뭐하냐 ㅋ 개인이니? 니 츠판러마,True,group,race-chinese,"한국말도 잘 못 쓰면서 남의 나라게시판에서뭐하냐 ㅋ, 개인이니? 니 츠판러마",,19247,True,"[35, 29, 13]","[40, 34, 27]",[['group']],"[['집단-민족, 인종, 국가-중국인']]",[],[],hateful
kold-v1_32760,naver_news,2021-04-27,엄마姓도 따를 수 있다… 양육 안 하면 상속 배제,아우 이 정신나간 정부 좀 브레이크 걸어줘,True,group,politics-others,아우 이 정신나간 정부 좀 브레이크 걸어줘,정부,197971,True,[5],[8],[['group']],[['집단-정치-그 외']],[10],[11],hateful
kold-v1_21384,naver_news,2021-07-06,"""'지잡대 나오니 그렇지'?...직장 모욕과 갑질은 차별의 다른 이름""",동성애는 빼고 제정해 그럼 동의할께. 왜 동성애를 넣나? 아이들에게 학교에서 동성애 교육을 할 수밖에 없는 거잖아. 왜? 차별금지법에 동성에 차별금지해야 하는 법이니까 이해시키기 위해 교육해야디. 화장실도 별도로 변태화장실을 두어야 하고 ㅡ 틀렸니? 반론제기해봐?,True,group,gender-LGBTQ+,변태화장실을 두어야 하고 ㅡ 틀렸니? 반론제기해봐?,,118755,True,[119],[146],[['group']],[['집단-성적 지향-동성애자']],[],[],hateful
