platform,topic,content,toxic,toxic_one_hot,toxic_type,toxic_type_one_hot,expression,expression_one_hot,target,length,label
zhihu,region,北京人计较？你笑死我了,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",11,non-hateful
tieba,gender,我被楼里那个，被我疑问句问破防的大男权主义分子拉黑了。所以我建个新楼回复在那个楼回复我的人。,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",46,hateful
zhihu,region,什么被害妄想猎巫man😓,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",15,hateful
tieba,race,把这帮孝子贤孙冲爆,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",9,hateful
tieba,race,法国不是法国人的法国,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 1, 0, 0, 0]",10,hateful
zhihu,race,好真实，支持家人,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",8,non-hateful
tieba,race,外表可以。黑真是太丑,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",10,hateful
tieba,race,种群铁律亘古不变，真理只在射程之内,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",17,non-hateful
zhihu,region,凭自己认识的个别一两个某省人，来定义整个那个省的人，是中国人的通病~国人最爱说的一句话就是“XX省人真不行，不能交，我XX年上学认识一个XX省人，人品特差”,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",78,hateful
tieba,gender,变她ma了个🐔8，拒绝舔狗从我做起,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",17,hateful
zhihu,race,我们小区也有个金发碧眼的小萝莉 家长们都挺喜欢的 因为真的长的超级可爱 活像洋娃娃 而且人家父母都是高知分子 但是对那个没爹的混血小黑态度就不一样了😅,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",78,hateful
zhihu,race,有后续吗🤔,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",8,non-hateful
zhihu,lgbt,所以你想表达什么⁉,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",12,non-hateful
zhihu,race,美国驻成都领事馆，被关闭那天，果子狸就注销账号跑路了……什么成分就不用多说了🐶,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",44,non-hateful
zhihu,race,让男的先开，然后出去玩，回来两个人一起大战🍉,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",25,non-hateful
tieba,gender,有什么问题嘛，找一男一女，女的喝茶男的干两份活,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",23,hateful
tieba,gender,就算你反对了那么个法案，现实总会给你一些更致命的新发现原来这个法案只是结果，不是原因,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",42,non-hateful
tieba,gender,也确实有很多女的会买耳机啊有问题吗？男的女的都有,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",24,non-hateful
zhihu,region,上海歧视是真的有,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 1, 0, 0, 0]",8,hateful
tieba,gender,确实现在的拳师天生就是坏种它们贪婪傲慢懒惰暴食淫欲嫉妒暴怒七宗罪它们全部都犯了它们欲壑难填利令智昏是畜生不如的东西,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",57,hateful
zhihu,region,上海人表示不对,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",7,non-hateful
zhihu,race,其实我倒是对黑人和白人没啥感觉，但我绝对不会娶。首先和黑人之类的外国人在一起肯定会有很大的外在压力，但这些压力都顶住了，付出了那么多后为什么还会分手呢？1.真心相爱，性格不合？但早干嘛去了，非要滚过床单才这么想。2.接受不了黑人的习俗？黑人的习俗比之前承受的压力都可怕？那我更不能理解最初为什么要选黑人了。这些不应该在滚床单之前就做好调查的么？3.尝试一下黑人的滋味？这更可怕，放荡不羁爱自由？那相亲对象知晓详情紧急避险不是理所当然的么。4.被诱惑？钱？身份？还是可以在朋友圈炫耀外国男友，鹤立鸡群的优越感？发现黑人不能够满足需求果断分手，寻找下家。我知道我可能将这些女性看的过于阴暗。但我还是会这么想。这样的结婚对象你会要吗？反正我不会。,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 1, 0]",320,hateful
zhihu,region,甘肃人躺地流泪,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",7,non-hateful
tieba,gender,这人老挠弹了，之前就被人举报封过，大过年又出来发病了,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",26,hateful
tieba,race,希望早日实施黑蛆清楚计划,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",12,hateful
zhihu,race,巴不得挑起对立是吧？就我一点进知乎就直接给我显示这个页面，搞笑呢吧，还能这样。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",39,non-hateful
zhihu,lgbt,看我直接化身贴吧暴躁老哥，直接喷死双标男,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[1, 0, 0, 0, 0]",20,hateful
zhihu,race,你真是这个问题的回答和评论区里少有的这么大度的😎,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",26,non-hateful
tieba,race,多建几个华人聚居区。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",10,non-hateful
tieba,gender,要点脸，动点脑子,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",8,hateful
tieba,gender,这个帖子是我发的想看看大家的看法,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",16,non-hateful
zhihu,region,都是境外分裂势力搞的鬼，你想想，西南的西藏，西北的新疆，再把东北和中原闹的人心不合，中国还剩啥了？一些不明就里的傻蛋还跟着起哄，还有某些东南假洋鬼子媒体带节奏，没有媒体带节奏怎么能形成气候？就像游行也好，抵制也好，没有带头的怎么能发动起来？愚民到啥时候都是愚民👍️👍️👍️,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",142,hateful
tieba,race,我也不理解，外来户怎么还敢这样高调,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 0, 1, 0]",17,hateful
tieba,race,我们要怎样才能阻止这东西,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",12,non-hateful
zhihu,race,东南亚小国，人家肤色都跟我们一样！说的不好听点，好多小国以前还被中国统治过～这能一样吗？混淆概念呢,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",49,non-hateful
zhihu,race,匿名发言：我不准备隐瞒，我勇敢真诚坦率，我只是不想有麻烦。🤣,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",34,non-hateful
zhihu,race,其实没必要歧视，只要跟黑男换国籍就行了,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 0, 1, 0]",19,hateful
zhihu,race,直接规定新法，嫁给外国人，自动失去中国国籍。,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 1, 0]",22,hateful
zhihu,race,其实韩国人。。。娘炮。。。😄😄😄,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 1, 0, 0, 0]",25,hateful
zhihu,race,放进罗非鱼行不行，那个鱼起码好吃，也是很凶残的鱼。应该能消灭清道夫吧。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",35,non-hateful
zhihu,region,没看过就不要学人蹭热点,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",11,non-hateful
tieba,lgbt,救命，好恶熏惹,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",7,hateful
tieba,race,我国那么多老艺术家离世的时候尼孝子们也没这么悲伤过,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",25,hateful
zhihu,region,江苏或者是江浙沪，也就苏北历史上能打，义乌的戚家军几千年也就那么一次,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",34,non-hateful
tieba,gender,你是昆明的吗兄弟，我也是昆明的,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",15,non-hateful
